Nombre;Dirección;Categoría;Teléfono;Emails;Sitio web;Estrellas;Comentarios;Reputación;Confianza;Contacto;Calidad;Utilidad
Repuestos Victor;Monroe 3596, C1430 Cdad. Autónoma de Buenos Aires;Proveedor de repuestos de electrodomésticos;011 4542-8979;;;4.5;101;4,43;Alto;Bajo;Durmiente;Promisoria
Mataderos Distribuciones S.R.L.;Av. Directorio 4688, C1407 HGT, Cdad. Autónoma de Buenos Aires;Proveedor de repuestos de electrodomésticos;011 4684-1155;;;4.3;19;4,29;Medio;Bajo;Exploratorio;Promisoria
Distribuidora Febo (BUJES BYC);Carabelas 891, B1869 Gerli, Provincia de Buenos Aires;Proveedor de repuestos de electrodomésticos;4204-9954;;;4.5;31;4,37;Medio;Bajo;Exploratorio;Promisoria
SCERVINO Refrigeración;Guevara 659, C1427 Cdad. Autónoma de Buenos Aires;Proveedor de repuestos de electrodomésticos;011 2381-5588;;;4.3;168;4,3;Alto;Bajo;Durmiente;Promisoria
Cuyo Refrigeración;Av. Salvador María del Carril 3150, C1419GZX Cdad. Autónoma de Buenos Aires;Proveedor de repuestos de electrodomésticos;011 4572-6177;;;4.4;104;4,36;Alto;Bajo;Durmiente;Promisoria
Repuestos San José;Av. Lisandro de la Torre 49, C1408 Cdad. Autónoma de Buenos Aires;Proveedor de repuestos de electrodomésticos;011 4641-3377;;;4.5;185;4,45;Alto;Bajo;Durmiente;Promisoria
Repuestos Jujuy SH;Av. Jujuy 721, C1229 ABC, Cdad. Autónoma de Buenos Aires;Proveedor de repuestos de electrodomésticos;011 4932-9345;;;4.7;167;4,6;Alto;Bajo;Durmiente;Promisoria
Serimar Laprida;Laprida 1292, C1425 Cdad. Autónoma de Buenos Aires;Proveedor de repuestos de electrodomésticos;011 2256-5309;;;4.8;941;4,77;Alto;Bajo;Durmiente;Promisoria
Arescalada. Cámaras De Seguridad. Alarmas X-28;Av. Hipólito Yrigoyen 6828, B1826 Lanús, Provincia de Buenos Aires;Proveedor de sistemas de seguridad;011 7091-8600;;https://www.arescalada.com.ar/;4.4;465;4,39;Alto;Medio;Potencial;Estratégica
F1 Accesorios seguridad lumar;Dardo Rocha 672, B1852ELY Burzaco, Provincia de Buenos Aires;Proveedor de sistemas de seguridad;011 3342-9586;;;4.5;24;4,35;Medio;Bajo;Exploratorio;Promisoria
Danger Full Matafuegos;Av. Directorio 5157, C1440ASD Cdad. Autónoma de Buenos Aires;Proveedor de sistemas de seguridad;011 4635-2290;;;4.6;75;4,47;Alto;Bajo;Durmiente;Promisoria
Multibujes;Estados Unidos 2002, C1227 Cdad. Autónoma de Buenos Aires;Proveedores de la industria metalúrgica;011 4942-5562;info@multibujes.com.ar;http://www.multibujes.com.ar/;4.9;28;4,5;Medio;Alto;Activo;Estratégica
Lubricentros Grupo Brabo;Av. Álvarez Jonte 3502, C1407 Cdad. Autónoma de Buenos Aires;Servicio de cambio de aceite;011 4567-3035;;http://www.grupobrabo.com/;4.5;257;4,46;Alto;Medio;Potencial;Estratégica
Lubricantes MKF Accesorios;Av. Varela 538, C1406 Cdad. Autónoma de Buenos Aires;Servicio de cambio de aceite;011 15-6243-1805;;;4.7;100;4,56;Alto;Bajo;Durmiente;Promisoria
Lugano;Av, Gral. Fernández de la Cruz 6217, 1439 Buenos Aires;Servicio de cambio de aceite;011 3099-9026;;;4.8;44;4,52;Medio;Bajo;Exploratorio;Promisoria
Lion Detailing car;Av. Larrazábal 3384, C1439 Cdad. Autónoma de Buenos Aires;Servicio de lavado de coches;011 2329-3668;;https://lioncardetailing.com/tienda/;4.8;80;4,6;Alto;Medio;Potencial;Estratégica
Detailing Lugano;C1439GJQ Ciudad Autónoma de Buenos Aires AR, Timoteo Gordillo 5171, C1439 GJQ;Servicio de limpieza de automóviles;011 3924-0254;;;4.8;18;4,42;Medio;Bajo;Exploratorio;Promisoria
POLARFILM;Av. Directorio 1500, C1406GZQ Cdad. Autónoma de Buenos Aires;Servicio de polarización de ventanas;011 4431-1111;info@polar-film.com.ar;http://www.polar-film.com.ar/;4.1;126;4,15;Medio;Alto;Activo;Estratégica
Polarizados Barracas;Vieytes 1539, C1275 Cdad. Autónoma de Buenos Aires;Servicio de polarización de ventanas;011 6636-7362;gruposerinet@hotmail.com;http://www.polarizadosbarracas.com.ar/;4.6;74;4,47;Alto;Alto;Estrella;Estratégica
POLARFILM;Av. Directorio 1500, C1406GZQ Cdad. Autónoma de Buenos Aires;Servicio de polarización de ventanas;011 4431-1111;info@polar-film.com.ar;http://www.polar-film.com.ar/;4.1;126;4,15;Medio;Alto;Activo;Estratégica
Autoradio Cyrus;Av. Eva Perón 1826, B1834 Temperley, Provincia de Buenos Aires;Servicio de polarización de ventanas;011 6847-3561;;https://www.facebook.com/autocyrus/;4.8;113;4,64;Alto;Medio;Potencial;Estratégica
Car Hans;Av. Belgrano 3601, C1210 Cdad. Autónoma de Buenos Aires;Servicio de polarización de ventanas;011 4931-2436;;https://www.carhans.com.ar/store/polarizados;4.4;590;4,39;Alto;Medio;Potencial;Estratégica
LM Polarizados;Montiel 1875, C1440 Cdad. Autónoma de Buenos Aires;Servicio de polarización de ventanas;011 5913-0846;info@lmpolarizados.com.ar;http://lmpolarizados.com.ar/;4.6;64;4,46;Alto;Alto;Estrella;Estratégica
CARVINYL;Av. Lope de Vega 2902, C1417 CPO, Cdad. Autónoma de Buenos Aires;Servicio de polarización de ventanas;011 6985-9995;;;4.9;153;4,75;Alto;Bajo;Durmiente;Promisoria
Hp sacabollos ,polarizado y cristales automotor.;Villa de Luján 2136, B1824 Buenos Aires, Provincia de Buenos Aires;Servicio de polarización de ventanas;011 3112-2136;;https://instagram.com/hpfilm_2136?igshid=MWZjMTM2ODFkZg==;4.6;44;4,43;Medio;Medio;Regular;Promisoria
Dubay autoradio;Fray José Wenceslao Achával 2818, B1826 Gran Buenos Aires, Provincia de Buenos Aires;Servicio de polarización de ventanas;011 3026-4380;;;4.4;47;4,34;Medio;Bajo;Exploratorio;Promisoria
Autorradio California;Av. Gral. Tomás de Iriarte 2154, C1291ABR Cdad. Autónoma de Buenos Aires;Servicio de polarización de ventanas;011 4303-5605;;;4.4;46;4,34;Medio;Bajo;Exploratorio;Promisoria
AUTORADIO WALCOR;Remedios de Escalada de San Martín 4802, C1407 EWF, Cdad. Autónoma de Buenos Aires;Servicio de polarización de ventanas;011 5505-6760;;;3.9;27;4,15;Medio;Bajo;Exploratorio;Promisoria
Aire Acondicionado Automotores;Av. San Juan 4027, CP1233ABK Cdad. Autónoma de Buenos Aires;Servicio de reparación de aire acondicionado;011 4922-2418;;;3.6;155;3,77;Bajo;Bajo;Frío;Potencial
caballitofilm;Av. Juan de Garay 1883, C1256 Cdad. Autónoma de Buenos Aires;Servicio de reparación de aire acondicionado;011 2268-0502;;;3.3;9;4,13;Bajo;Bajo;Frío;Potencial
Resortes Car;Oliden 2676, C1440 Cdad. Autónoma de Buenos Aires;Taller de amortiguadores;011 4686-5522;ventas@resortescar.com.ar;http://www.resortescar.com.ar/;4.6;51;4,44;Alto;Alto;Estrella;Estratégica
Suspensión Los Incas;Av. de los Incas 5201, C1427DOE Cdad. Autónoma de Buenos Aires;Taller de amortiguadores;011 4522-1034;ventas@suspensionlosincas.com.ar;http://www.suspensionlosincas.com.ar/;4.4;75;4,35;Alto;Alto;Estrella;Estratégica
Lubricentro Lubrione;Av. Álvarez Thomas 1770, C1427 Cdad. Autónoma de Buenos Aires;Taller de automóviles;011 4552-2947;lubrione@gmail.com;http://www.lubrione.com/;4.3;331;4,3;Alto;Alto;Estrella;Estratégica
MAS+ ESTETICA AUTOMOTRIZ;Pje. la Sta. Maria 1638, C1407 Cdad. Autónoma de Buenos Aires;Taller de automóviles;011 2126-4716;;http://www.facebook.com/mas.estetica.automotriz;4.7;133;4,59;Alto;Medio;Potencial;Estratégica
Taller integral automotor Inyección electrónica;Tilcara 2144, C1437CWB Cdad. Autónoma de Buenos Aires;Taller de automóviles;011 4922-1840;alsinaservice@gmail.com;http://www.alsinaservice.com.ar/;4.7;26;4,43;Medio;Alto;Activo;Estratégica
Sacabollos CEC PRO;Av. Juan de Garay 4201, C1256ABL Cdad. Autónoma de Buenos Aires;Taller de automóviles;011 4313-3028;gabrielcuarterok98@gmail.com;http://cecprosacabollos.com.ar/;4.8;263;4,72;Alto;Alto;Estrella;Estratégica
POINTCAR BOEDO;Av. Pavón 4035, C1253 Cdad. Autónoma de Buenos Aires;Taller de automóviles;011 6236-6713;info@pointcar.com.ar;https://pointcar.com.ar/;4.5;172;4,45;Alto;Alto;Estrella;Estratégica
LUBRICENTRO Y CASA DE REPUESTOS PARAT;Av. Díaz Vélez 4018, C1200 Cdad. Autónoma de Buenos Aires;Taller de automóviles;011 4801-4018;;https://parat.mercadoshops.com.ar/;4.4;555;4,39;Alto;Medio;Potencial;Estratégica
Majoma Distribuidora Motor;Epecuén 4749, C1419AMA Cdad. Autónoma de Buenos Aires;Taller de automóviles;;info@majoma.com.ar;https://www.majomadigital.com.ar/;5.0;6;4,36;Bajo;Medio;En Proceso;Potencial
Poly Car Auto Radio;esquina Quesada, Av. de los Constituyentes 5589, C1431 Cdad. Autónoma de Buenos Aires;Taller de automóviles;011 4573-2474;;;4.6;103;4,5;Alto;Bajo;Durmiente;Promisoria
Elásticos Portela S.R.L.;Portela 3351, C1437CAC Cdad. Autónoma de Buenos Aires;Taller de automóviles;011 4918-1257;;;4.6;59;4,45;Alto;Bajo;Durmiente;Promisoria
SPL Team;Av. Juan Bautista Alberdi 7188, C1440ABW Cdad. Autónoma de Buenos Aires;Taller de automóviles;011 5458-5941;;;4.3;38;4,29;Medio;Bajo;Exploratorio;Promisoria
Autoradio Libertad;Libertad 32, C1012AAB Cdad. Autónoma de Buenos Aires;Taller de automóviles;011 4381-5314;;;4.3;98;4,29;Alto;Bajo;Durmiente;Promisoria
Taller Araujo;Araujo 2493, C1439 Cdad. Autónoma de Buenos Aires;Taller de chapa y pintura;011 15-5348-4835;;;4.9;92;4,68;Alto;Bajo;Durmiente;Promisoria
Taller automotriz y cristales para autos;Gual 2436, C1437 Cdad. Autónoma de Buenos Aires;Taller de cristales para automóviles;011 3296-9883;;http://www.todoteq.com.ar/;4.9;57;4,61;Alto;Medio;Potencial;Estratégica
Cristales Barracas;Pedro de Luján 2301, C1294 Cdad. Autónoma de Buenos Aires;Taller de cristales para automóviles;011 4302-4879;cristalesbarracas2011@hotmail.com;http://www.cristalesbarracas.com/;4.7;454;4,66;Alto;Alto;Estrella;Estratégica
Parabrisas Urquiza;Av. de los Incas 4643, C1427 Cdad. Autónoma de Buenos Aires;Taller de cristales para automóviles;011 2065-1456;info@parabrisasurquiza.com.ar;http://www.parabrisasurquiza.com.ar/;4.8;645;4,76;Alto;Alto;Estrella;Estratégica
Devoto Cristales;Av. S. Martín 6610, C1419 Cdad. Autónoma de Buenos Aires;Taller de cristales para automóviles;011 7511-5468;;http://devotocristales.com.ar/;4.3;191;4,3;Alto;Medio;Potencial;Estratégica
Cristales San Martín;Av. S. Martín 7036, C1419 Cdad. Autónoma de Buenos Aires;Taller de cristales para automóviles;011 4504-2342;cristalessanmartin@gmail.com,cristalessanmartin@hotmail.com;https://www.cristalessanmartin.com.ar/;4.3;558;4,3;Alto;Alto;Estrella;Estratégica
SANDORE CABA;Av. Francisco Beiró 5671, C1419 Cdad. Autónoma de Buenos Aires;Taller de cristales para automóviles;011 3029-0812;;;4.7;18;4,39;Medio;Bajo;Exploratorio;Promisoria
Cristales Constituyentes;Av. de los Constituyentes 4240, C1431EXU Cdad. Autónoma de Buenos Aires;Taller de cristales para automóviles;011 4574-4789;;;4.2;114;4,23;Alto;Bajo;Durmiente;Promisoria
PETRUZIO CRISTALES MATADEROS;Av. Eva Perón 7323, C1439 Cdad. Autónoma de Buenos Aires;Taller de cristales para automóviles;011 6398-5691;;;4.0;170;4,06;Medio;Bajo;Exploratorio;Promisoria
REPUESTOS LUCAS - CAPITAL FEDERAL;Av. Lope de Vega 2083, C1417COD Cdad. Autónoma de Buenos Aires;Taller de frenos;;;http://instagram.com/repuestoslucasoficial;4.6;59;4,45;Alto;Bajo;Durmiente;Promisoria
Autoradio Mutual;Llavallol 4350, C1419AKH Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 6215-3350;;https://www.facebook.com/autoradio.mutual;4.3;173;4,3;Alto;Medio;Potencial;Estratégica
Il Cavallino Wheels;Av. Rigolleau 14) 3335, B1884 Berazategui, Provincia de Buenos Aires;Taller de reparación de automóviles;011 4226-0038;ventas.bz@ilcw.com.ar;http://www.tiendailcavallino.com.ar/;4.4;1052;4,39;Alto;Alto;Estrella;Estratégica
Tecnomax Equipamientos;C.AB.A, PAROISSIEN 1686 - 2 piso (Domicilio comercial, C1428 Buenos Aires;Taller de reparación de automóviles;011 4945-6579;;http://www.tecnomaxequip.com.ar/;4.9;65;4,63;Alto;Medio;Potencial;Estratégica
Musmarra;Soler 4874, C1425BXH Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 4773-5099;;http://www.musmarra.com.ar/;4.4;164;4,37;Alto;Medio;Potencial;Estratégica
DISTRIDOC REPUESTOS;C. Dr. Juan Felipe Aranguren 1816, C1406 Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 2351-1649;distridocrepuestos@gmail.com;http://www.distridoc.com/;3.9;33;4,13;Medio;Alto;Activo;Estratégica
Toyota Kansai - Servicio de Posventa;Av. Tte. Gral. Donato Álvarez 1350, C1416BTP Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 7079-1111;;http://www.kansai.com.ar/;4.6;2003;4,59;Alto;Medio;Potencial;Estratégica
Sj Neumaticos Sa;Pedro Echagüe 1402, C1130 Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 6655-8278;;http://www.neumaticos-sanjose.com.ar/;4.4;342;4,39;Alto;Medio;Potencial;Estratégica
Autoradio Nelson;Av. San Juan 1470, C1148 Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 6402-0885;;http://www.nelsonautoradio.com.ar/;4.4;357;4,39;Alto;Medio;Potencial;Estratégica
Seven Blindajes CABA;Av. Juan Bautista Alberdi 7220, C1440 Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 6096-3402;BlindcarsSRL@gmail.com;https://sevenblindajes.wixsite.com/caba;4.8;27;4,46;Medio;Alto;Activo;Estratégica
Lubricentros GRUPO BRABO;Av. San Juan 2929, C1232 Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 4931-1023;;http://www.grupobrabo.com/;4.8;344;4,73;Alto;Medio;Potencial;Estratégica
Custom Shine AUTORADIO aire acondicionado calefaccion;Av. Bartolomé Mitre 2050, B1605 Vicente López, Provincia de Buenos Aires;Taller de reparación de automóviles;011 6553-4329;;https://www.instagram.com/customshineautoradio/;4.5;165;4,45;Alto;Medio;Potencial;Estratégica
Luana Max Car Audio;Pje. Juan Pablo Lopez 3350, C1419CDB Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 3784-0389;;https://www.facebook.com/autoradio.luanamax/;4.8;62;4,57;Alto;Medio;Potencial;Estratégica
Pit Stop - Car Center Parque Chacabuco;Av. La Plata 1199, C1250 Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 3254-7555;;https://www.pitstopcarcenter.com/;4.4;8;4,3;Bajo;Medio;En Proceso;Potencial
BM Car;Av. S. Martín 1458, C1416 CRP, Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 4582-2615;;;3.0;3;4,21;Bajo;Bajo;Frío;Potencial
Mataderos Motor Post Venta;Av. Lisandro de la Torre 2131 A, C1440 Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 4686-1147;serviciosalclienteautoahorro@autoahorro.com.ar;https://vwmataderos.com.ar/;4.7;3;4,31;Bajo;Alto;Oportunidad;Potencial
Volkswagen Lugano;Av. Eva Perón 4436, C1407 Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 4635-4776;;;4.4;102;4,36;Alto;Bajo;Durmiente;Promisoria
VAG Imports;Av. Directorio 2360, C1406HAN Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 2463-7948;;https://instagram.com/vag.imports?igshid=YmMyMTA2M2Y=;4.9;32;4,52;Medio;Medio;Regular;Promisoria
AutoDrive Postventa;Humahuaca 4570, C1192ACN Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 2153-2222;;https://www.autodrive.com.ar/;3.9;49;4,09;Medio;Medio;Regular;Promisoria
NSD Auto Center;Av La Plata, Rondeau Y, Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 2399-0441;;http://www.facebook.com/nsdautocenter;4.4;21;4,32;Medio;Medio;Regular;Promisoria
Autoradio AudiocenterDaniel;Av. Eva Perón 6001, C1440 Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 4686-5600;;;3.9;138;4;Medio;Bajo;Exploratorio;Promisoria
Casa Colombres S.R.L.;Colombres 1233, C1238AAE Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 5263-2192;;;4.4;545;4,39;Alto;Bajo;Durmiente;Promisoria
Audio Trends;Av. San Juan 2646, C1232 Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 2780-3856;;http://www.audiotrends.com.ar/;3.9;234;3,97;Medio;Medio;Regular;Promisoria
Elicar;Francisco Bilbao 3074, C1406FGJ Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 4613-8014;;;4.7;194;4,61;Alto;Bajo;Durmiente;Promisoria
Repuestos y Servicios 2002;Av. Caseros 1315, C1152AAJ C1152AAJ, Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 2574-5327;;;4.3;96;4,29;Alto;Bajo;Durmiente;Promisoria
AUDIOSHIFT;Av. de los Incas 4859, C1427DOA Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 2169-6629;;;4.6;67;4,46;Alto;Bajo;Durmiente;Promisoria
GL Taller Global;José León Cabezón 3719, C1419 FCW, Cdad. Autónoma de Buenos Aires;Taller de reparación de automóviles;011 4503-9920;;;4.1;38;4,2;Medio;Bajo;Exploratorio;Promisoria
Moto Ferro;Av. Rivadavia 10786, C1408 Cdad. Autónoma de Buenos Aires;Taller de reparación de motos;011 15-2526-8851;;;4.3;18;4,29;Medio;Bajo;Exploratorio;Promisoria
Polarizadosfilms;C1416 Cdad. Autónoma de Buenos Aires;Taller de revisión de automóviles;011 3575-1978;;;1.0;4;4,04;Bajo;Bajo;Frío;Potencial
Torettos Market;Warnes 1474, C1416 Cdad. Autónoma de Buenos Aires;Taller de revisión de automóviles;011 5263-0796;meli@torettosmarket.com;https://torettosmarket.com/;3.6;183;3,75;Bajo;Alto;Oportunidad;Potencial
Coekiper;Av. Luciano Valette 400, B1842EAQ Monte Grande, Provincia de Buenos Aires;Taller de revisión de automóviles;011 4090-6127;;;4.4;99;4,36;Alto;Bajo;Durmiente;Promisoria
Cobertores Tango SRL - Cubre coches antigranizo;Ituzaingó 1009, B1824 Lanús, Provincia de Buenos Aires;Tapicería para automóviles;011 3467-0131;ventastango@cobertorestango.com;https://cobertorestangosrl.mercadoshops.com.ar/;4.6;10;4,34;Medio;Alto;Activo;Estratégica
Car Cold System srl;Av. Juan Bautista Justo 3260, C1416 Cdad. Autónoma de Buenos Aires;Tienda aire acondicionado;011 4854-1856;;;4.6;136;4,51;Alto;Bajo;Durmiente;Promisoria
R1sportwarnes;Warnes 795, C1414 Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 4857-9648;;http://www.r1sport.com.ar/;4.6;107;4,5;Alto;Medio;Potencial;Estratégica
Distrillantas Beiró;Av. Francisco Beiró 2937, C1419 Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 5263-7473;;https://distrillantas.com.ar/;4.4;507;4,39;Alto;Medio;Potencial;Estratégica
Accesorios Sanabria;Rotarismo Argentino 1970, B1207 José Ingenieros, Provincia de Buenos Aires;Tienda de accesorios para automóviles;011 3202-5366;;http://www.accesoriossanabria.com.ar/;4.7;89;4,55;Alto;Medio;Potencial;Estratégica
EQUIPAMIENTOS TIERRA NEGRA;Laureles Argentinos 5018, C1417 Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 2339-7502;;http://www.tierranegra4x4.com/;4.4;57;4,35;Alto;Medio;Potencial;Estratégica
Accesorios OCP;Sucre 1595, B1614 Villa de Mayo, Provincia de Buenos Aires;Tienda de accesorios para automóviles;011 15-6461-4093;;https://accesoriosocp.mercadoshops.com.ar/;4.2;128;4,22;Alto;Medio;Potencial;Estratégica
SSP Molduras y Accesorios;Gabriela Mistral 2894, C1419GFH Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 15-6433-9867;;https://www.sspmolduras.com.ar/;4.3;121;4,29;Alto;Medio;Potencial;Estratégica
Fundas Mitre Sport;Av. Remedios de Escalada de San Martín 2293, B1822AAU Valentín Alsina, Provincia de Buenos Aires;Tienda de accesorios para automóviles;4208-9825;fundasmitresport@hotmail.com;https://www.fundasmitresport.com.ar/;4.6;185;4,53;Alto;Alto;Estrella;Estratégica
Automundo warnes;Av. Dr. Honorio Pueyrredón 2180 LOCAL 2, C1414 Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 3414-3263;;http://automundowarnes.com.ar/;4.8;204;4,7;Alto;Medio;Potencial;Estratégica
Locosxelauto;C. 138 2590, B1884 Berazategui, Provincia de Buenos Aires;Tienda de accesorios para automóviles;011 3649-2476;;https://instagram.com/locosxelauto?utm_medium=copy_link;5.0;309;4,9;Alto;Medio;Potencial;Estratégica
DISTRIEXPRESS (FRANKOWARNES);Warnes 820, C1414 Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 4857-0944;frankowarnes@gmail.com;https://distriexpress.empretienda.com.ar/;4.5;793;4,49;Alto;Alto;Estrella;Estratégica
Autozona Quilmes;Andrés Baranda 1901, B1879 Quilmes, Provincia de Buenos Aires;Tienda de accesorios para automóviles;011 3044-3232;autozonaquilmes@gmail.com;http://autozonaquilmes.wixsite.com/quilmes;4.9;39;4,55;Medio;Alto;Activo;Estratégica
ARAÑA Equipamientos para 4x4;Warnes 675, C1414 Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 4857-0792;info@equipamientosarania.com.ar;https://www.equipamientosarania.com.ar/;4.8;299;4,73;Alto;Alto;Estrella;Estratégica
Mobile ( LV Accesorios );Warnes 939, C1414AAJ Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 3424-4390;;https://mobilewarnes.mitiendanube.com/?fbclid=PAAaaMX1b_2p3wNliukLQYu688S2vLlHdgH_5H38RaDp1_5AdwIQU_NQkX3dU_aem_AUUuvigj15OiszGnELLTTZAZAzSwTBMFnK-MG5kXw5CEgkk_QDiuzk56nt7pH27Azl0;4.6;100;4,49;Alto;Medio;Potencial;Estratégica
DNV Repuestos;Casafoust 591, C1416AVV Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 2576-4787;ventasdnvexpress@gmail.com;https://www.dnvexpress.com.ar/;4.1;482;4,12;Medio;Alto;Activo;Estratégica
Distribuidora Efege;Los Andes 1005, B1753 Villa Luzuriaga, Provincia de Buenos Aires;Tienda de accesorios para automóviles;011 4409-1195;distribuidoraefege@gmail.com,ventas@distribuidoraefege.com,giuliano@distribuidoraefege.com;http://www.distribuidoraefege.com/;5.0;18;4,47;Medio;Alto;Activo;Estratégica
Lefer Innovation & Design;Av. Rivadavia 10598, C1408HJB Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 3530-6316;lefer-car@hotmail.com;http://www.lefer.com.ar/;4.3;718;4,3;Alto;Alto;Estrella;Estratégica
R1sportwarnes;Warnes 795, C1414 Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 4857-9648;ventas@r1sport.com.ar;http://www.r1sport.com.ar/;4.6;107;4,5;Alto;Alto;Estrella;Estratégica
Autopartes Kanban;Guaminí 2563, C1440 Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 6696-7012;autoparteskanban@gmail.com;https://autoparteskanban.mercadoshops.com.ar/;4.8;31;4,48;Medio;Alto;Activo;Estratégica
Gabriel Ferraro Aire - Audio;CGV, Av. Hipólito Yrigoyen 9572, B1828 Lomas de Zamora, Provincia de Buenos Aires;Tienda de accesorios para automóviles;011 4244-1965;admin@gfdistribuidora.com.ar;https://gfdistribuidora.com.ar/;4.4;196;4,38;Alto;Alto;Estrella;Estratégica
ConectividadFull;Eva Perón 3435, B1825AAW Monte Chingolo, Provincia de Buenos Aires;Tienda de accesorios para automóviles;011 4971-3333;conectividadfull@gmail.com;https://www.conectividadfull.com.ar/;5.0;26;4,53;Medio;Alto;Activo;Estratégica
Autosalerno;Guaminí 2563, C1440ESW Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 3423-7656;autosalerno@gmail.com;http://www.autosalerno.com.ar/;4.8;533;4,76;Alto;Alto;Estrella;Estratégica
Equip Store;Warnes 1318, C1416 CQN, Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 3532-7502;ventas@equipstore.com.ar;https://equipstore.com.ar/;4.7;1085;4,68;Alto;Alto;Estrella;Estratégica
Boutique Car - Centro integral de servicios;Av. Victorica 1086, B1744 Moreno, Provincia de Buenos Aires;Tienda de accesorios para automóviles;011 6636-5724;;https://www.facebook.com/Boutique.Car.Moreno.Oficial;4.3;433;4,3;Alto;Medio;Potencial;Estratégica
Universal Auto;Av. San Juan 1611, C1148AAE Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 4304-1990;;https://listado.mercadolibre.com.ar/_CustId_214796268;4.5;131;4,44;Alto;Medio;Potencial;Estratégica
Warnes Plaza S.A.;Batalla del Pari 642, C1416DXD C1416DXD, Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 4584-2400;ventas@warnesplaza.com.ar;http://www.warnesplaza.com.ar/;4.5;33;4,37;Medio;Alto;Activo;Estratégica
Dinamic Store;Espora 4157, B1600 Villa Lynch, Provincia de Buenos Aires;Tienda de accesorios para automóviles;011 7078-0653;tiendaoficial@dinamicstore.com.ar;https://www.dinamicstore.com.ar/;4.1;533;4,12;Medio;Alto;Activo;Estratégica
STANYS ACCESORIOS;Warnes 804, C1414 AAV, Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 4855-6449;info@stanysaccesorios.com.ar;https://www.stanysaccesorios.com.ar/;4.6;186;4,53;Alto;Alto;Estrella;Estratégica
WARNES 1070 4x4 ACCESORIOS Y EQUIPAMIENTO AUTOMOTOR;Warnes 1070, C1414 Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 6522-2500;info@warnes-equip.com.ar;http://warnes1070.com.ar/;4.1;516;4,12;Medio;Alto;Activo;Estratégica
La Casa del Parabrisas / División Autopartes y Accesorios;Av. Savio 751, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires;Tienda de accesorios para automóviles;0336 15-469-6217;;https://www.facebook.com/LaCasaDelParabrisas;4.6;218;4,54;Alto;Medio;Potencial;Estratégica
Stallion Argentina;Maure 4086, C1427 Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 4554-9282;;http://www.stallion.com.ar/;4.6;149;4,52;Alto;Medio;Potencial;Estratégica
Warnes Market;Warnes 1373, C1416 Cdad. Autónoma de Buenos Aires;Tienda de accesorios para automóviles;011 5263-5053;ventas@warnesmarket.com.ar;http://www.warnesmarket.com.ar/;4.0;1661;4,01;Medio;Alto;Activo;Estratégica
